title	tags
RT @OfficialSLC: 📸 Sri Lanka Test Squad led by Dimuth Karunaratne arrives in Islamabad to take part in a two match Test series. #PAKvSL htt…	['PAKvSL']
RT @ZaidZamanHamid: Few people realize that 3 largest terrorist organizations in Asia, which have killed a million civilians, were all crea…	['Sri Lanka']
Welcome team SriLanka.Welcome Back Mikey Arthur 😀😁	['Sri Lanka']
RT @OfficialSLC: 📸 Sri Lanka Test Squad led by Dimuth Karunaratne arrives in Islamabad to take part in a two match Test series. #PAKvSL htt…	['PAKvSL']
RT @ZaidZamanHamid: Few people realize that 3 largest terrorist organizations in Asia, which have killed a million civilians, were all crea…	['Sri Lanka']
RT @TheRealPCB: Arrival of Sri Lanka team at Islamabad.Warm welcome to the visitors to the federal capital.#PAKvSL action to being on W…	['PAKvSL']
RT @ARanganathan72: HALF A MILLION Sri Lankan Tamil Hindus are also excluded because Lanka is not mentioned in the #CitizenshipAmendmentBil…	['Sri Lanka']
RT @ARanganathan72: HALF A MILLION Sri Lankan Tamil Hindus are also excluded because Lanka is not mentioned in the #CitizenshipAmendmentBil…	['Sri Lanka']
RT @dhavicii: Port City lighted up the skies as it becames part of Sri Lanka !! 🇱🇰 #portcity #PortCityColombo #wonderofasia #lka#LK https…	['portcity', 'PortCityColombo', 'wonderofasia', 'lka', 'LK']
Welcome team Sri Lanka to Pakistan, we whole nation love you and proud on our friendship,thanks for bringing cricke… https://t.co/xu4myreixz	['Sri Lanka']
@wandering_quinn @Jones_y Loving the fresh tropical vibe of these pictures 📸😍Which adventurous activities and wate… https://t.co/Q6b0OThEh7	['Sri Lanka']
RT @ZaidZamanHamid: Few people realize that 3 largest terrorist organizations in Asia, which have killed a million civilians, were all crea…	['Sri Lanka']
Please sign and share widely!  His Excellency President Maithripala Sirisena: Free the two enslaved Elephants at th… https://t.co/Kzc7dnxnuf	['Sri Lanka']
RT @sandy_k14: Try listening to #Believe and #ClosertoYou back to back  ... straight to the soul😢♥️😢 https://t.co/9xkOM8c9xG	['Believe', 'ClosertoYou']
